name,address,phone,location,Sunday opens at,Sunday closes at,Monday opens at,Monday closes at,Tuesday opens at,Tuesday closes at,Wednesday opens at,Wednesday closes at,Thursday opens at,Thursday closes at,Friday opens at,Friday closes at,Saturday opens at,Saturday closes at,Source
"Redwood City, Downtown Library","1044 Middlefield Road, Redwood City, CA 94063 ",650.780.7018 ,"-122.2272962,37.4840603",12:00 PM,5:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,5:00 PM,10:00 AM,5:00 PM,Library
"Redwood City, Fair Oaks Branch","2510 Middlefield Road , Redwood City, CA 94063 ",650.780.7261 ,"-122.2134714,37.478051",: ,: ,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,7:00 PM,10:00 AM,5:00 PM,: ,: ,Library
"Redwood City, Redwood Shores Branch ","399 Marine Parkway , Redwood City, CA 94065",650.780.5740 ,"-122.258726,37.530249",12:00 PM,5:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,: ,: ,10:00 AM,5:00 PM,Library
"Redwood City, Schaberg Branch ","2140 Euclid Avenue, Redwood City, CA 94061",650.780.7010,"-122.243876,37.4663309",: ,: ,: ,: ,1:00 PM,6:00 PM,1:00 PM,6:00 PM,1:00 PM,6:00 PM,: ,: ,10:00 AM,3:00 PM,Library
Skyline College Library,"3300 College Drive, San Bruno, CA 94066",650.738.4311,"-122.4672054,37.6309057",: ,: ,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,2:00 PM,10:00 AM,2:00 PM,Library
San Bruno,"701 Angus Avenue West , San Bruno, CA 94066 ",650.616.7078 ,"-122.4149425,37.6253365",: ,: ,11:00 AM,8:00 PM,11:00 AM,8:00 PM,11:00 AM,8:00 PM,11:00 AM,8:00 PM,1:00 PM,5:00 PM,10:00 AM,5:00 PM,Library
San Carlos Library ,"610 Elm Street , San Carlos, CA 94070 ",650.591.0341 ,"-122.261743,37.50403",1:00 PM,5:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,9:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,Library
San Mateo City - Main Library,"55 West 3rd Avenue , San Mateo, CA 94402 ",650.522.7800 ,"-122.327036,37.561869",1:00 PM,5:00 PM,11:00 AM,8:00 PM,11:00 AM,8:00 PM,11:00 AM,8:00 PM,11:00 AM,8:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,Library
"San Mateo City, Hillsdale Branch","205 West Hillsdale Boulevard , San Mateo, CA 94403 ",650.522.7880 ,"-122.3048754,37.5336411",: ,: ,1:00 PM,5:00 PM,2:00 PM,8:00 PM,10:00 AM,5:00 PM,1:00 PM,5:00 PM,: ,: ,11:00 AM,5:00 PM,Library
"San Mateo City, Marina Branch","1530 Susan Court , San Mateo, CA 94403 ",650.522.7890,"-122.2936227,37.5560205",: ,: ,2:00 PM,8:00 PM,10:00 AM,5:00 PM,1:00 PM,5:00 PM,: ,: ,1:00 PM,5:00 PM,11:00 AM,5:00 PM,Library
"South San Francisco, Grand Avenue Branch","306 Walnut Avenue, South San Francisco, CA 94080",650-877-8530,"-122.4142536,37.656156",: ,: ,10:00 AM,6:00 PM,10:00 AM,6:00 PM,12:00 PM,8:00 PM,10:00 AM,6:00 PM,: ,: ,: ,: ,Library
South San Francisco - Main,"840 West Orange Avenue, South San Francisco, CA 94080",650.829.3860,"-122.4364291,37.6524934",2:00 PM,5:00 PM,10:00 AM,8:00 PM,10:00 AM,8:00 PM,10:00 AM,6:00 PM,12:00 PM,8:00 PM,10:00 AM,6:00 PM,10:00 AM,5:00 PM,Library
Woodside Library,"3140 Woodside Road, Woodside, CA 94062",650.851.0147,"-122.2575811,37.428704",: ,: ,11:00 AM,7:00 PM,11:00 AM,7:00 PM,11:00 AM,7:00 PM,11:00 AM,7:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM,Library
