     "gid","name","address","phone","longitude","latitude","source"
    39,"Work2Future, Gilroy","7800 Arroyo Circle, Suite A Gilroy, 95020","For An Appointment Call:Food Connection 1-800-984-3663",-121.56204608535,37.01535717061,"Second Harvest Food Bank"
    40,"Work2Future, San Jose","1601 Foxworthy Ave San Jose, 95118","For An Appointment Call:Food Connection 1-800-984-3663",-121.90244948474,37.27162814291,"Second Harvest Food Bank"
    41,"Arbor Free Clinic","795 Willow Road,  Building 334 Menlo Park 94025","For An Appointment Call:Food Connection 1-800-984-3663",-122.16240021614,37.465290319892,"Second Harvest Food Bank"
    42,"CALL Primrose","139 Primrose Road Burlingame, 94010","For An Appointment Call:CALL Primrose 650-342-2255",-122.34635334773,37.576217278739,"Second Harvest Food Bank"
    43,"Daly City Medical Center","380 90th Street Daly City, 94015","For An Appointment Call:Food Connection 1-800-984-3663",-122.47404956693,37.691109739148,"Second Harvest Food Bank"
    44,"Edgewood Produce Mobile","957 B Industrial Road San Carlos, CA 94070","For An Appointment Call:Food Connection 1-800-984-3663",-122.25032086036,37.505996713037,"Second Harvest Food Bank"
    45,"El Concilio Family Harvest","2450 Ralmar Street East Palo Alto 94303","For An Appointment Call:Food Connection 1-800-984-3663",-122.14499453536,37.473624258497,"Second Harvest Food Bank"
    46,"Fair Oaks Adult Clinic","2710 Middlefield Road Redwood City, 94063","For An Appointment Call:Food Connection 1-800-984-3663",-122.21155827261,37.476117897149,"Second Harvest Food Bank"
    47,"Hoover School","701 Charter Street Redwood City, 94061","For An Appointment Call:Hoover School Family Center 650-482-5925 ext.307",-122.2146100871,37.481530681289,"Second Harvest Food Bank"
    48,"Kennedy School","2521 Goodwin Ave. Redwood City, 94061","For An Appointment Call:Food Connection 1-800-984-3663",-122.23897712457,37.46037421387,"Second Harvest Food Bank"
    49,"Lawson Hall Brown Bag & Produce Mobile","125 Accacia Street Daly City, 94014","For An Appointment Call:Food Connection 1-800-984-3663",-122.41492874647,37.706203402362,"Second Harvest Food Bank"
    50,"Machinists Hall","1511 Rollins Road Burlingame, 94010","For An Appointment Call:Food Connection 1-800-984-3663",-122.37018246235,37.592722895837,"Second Harvest Food Bank"
    51,"Moonridge Housing","2001 Miramonte Point Road Half Moon Bay, 94019","For An Appointment Call:Food Connection 1-800-984-3663",-122.42858195505,37.463556297519,"Second Harvest Food Bank"
    52,"Ravenswood Farmer's Market","1798-A Bay Road East Palo Alto, 94303","For An Appointment Call:Food Connection 1-800-984-3663",-122.13385420499,37.471121103971,"Second Harvest Food Bank"
    53,"Ravenswood Health Clinic","1798 Bay Road East Palo Alto, 94303","For An Appointment Call:Food Connection 1-800-984-3663",-122.13385254063,37.471120794017,"Second Harvest Food Bank"
    54,"San Mateo Medical Center","222 W 39th Avenue, 1st Floor CHA Office San Mateo, 94403","For An Appointment Call:Food Connection 1-800-984-3663",-122.3050754057,37.534998029079,"Second Harvest Food Bank"
    55,"Second Harvest Food Bank, Bing Center","1051 Bing Street San Carlos, 94070","For An Appointment Call:Food Connection 1-800-984-3663",-122.24457801307,37.496039441615,"Second Harvest Food Bank"
    56,"SMC Medical Center Willow Clinic","795 Willow Road, Bldg 334 Menlo Park, 94025","For An Appointment Call:Food Connection 1-800-984-3663",-122.1623961821,37.46528810667,"Second Harvest Food Bank"
    57,"SMC South San Francisco Medical Center","306 Spruce Avenue South San Francisco, 94080","For An Appointment Call:Food Connection 1-800-984-3663",-122.41563215577,37.65665139518,"Second Harvest Food Bank"
    58,"St. Anthony's Dining Room","3500 Middlefield Road Menlo Park 94025","For An Appointment Call:Food Connection 1-800-984-3663",-122.20156279031,37.468863300758,"Second Harvest Food Bank"
    59,"VA Menlo Park","795 Willow Road, Building 321 Menlo Park, 94025","For An Appointment Call:Food Connection 1-800-984-3663",-122.16239550064,37.465288412326,"Second Harvest Food Bank"
    60,"Bay Area Legal Aid","539 Middlefield Road Redwood City, 94063","For An Appointment Call:Food Connection 1-800-984-3664",-122.22929700707,37.488808307712,"Second Harvest Food Bank"
    61,"Canada College","4200 Farm Hill Bloulevard Redwood City, 94061","For An Appointment Call:Food Connection 1-800-984-3665",-122.26614568201,37.447466755112,"Second Harvest Food Bank"
    62,"East Palo Alto WIC","2160 Euclid East Palo Alto 94303","For An Appointment Call:Food Connection 1-800-984-3666",-122.14367046414,37.463797834761,"Second Harvest Food Bank"
    63,"El Centro de Libertad","500 Allerton Street Redwood City, 94063","For An Appointment Call:Food Connection 1-800-984-3667",-122.23147249243,37.488792963676,"Second Harvest Food Bank"
    64,"Michoacan Produce Market","3380 Middlefield Road Menlo Park, 94025","For An Appointment Call:Food Connection 1-800-984-3668",-122.20232811093,37.470631211028,"Second Harvest Food Bank"
    65,"PCRC PM","Rogell Court San Mateo, 94401","For An Appointment Call:Food Connection 1-800-984-3669",-122.32253561278,37.580166225975,"Second Harvest Food Bank"
    66,"Redwood City WIC","2342 El Camino Real Suite 200 Redwood City, 94061","For An Appointment Call:Food Connection 1-800-984-3670",-122.21991566553,37.474666932995,"Second Harvest Food Bank"
    67,"San Mateo WIC","32 W 25th Ave # 203A San Mateo, 94403","For An Appointment Call:Food Connection 1-800-984-3671",-122.3067001774,37.543928057169,"Second Harvest Food Bank"
    68,"St. Bruno Church","555 San Bruno Avenue, West San Bruno, 94066","For An Appointment Call:Food Connection 1-800-984-3672",-122.41538554981,37.629097405178,"Second Harvest Food Bank"
    69,"SMC Bookmobile","620 Correas Street Half Moon Bay, 94019;  Pescadero, 94060, La Honda, 94020","For An Appointment Call:Food Connection 1-800-984-3672",-122.43087167142,37.461543895773,"Second Harvest Food Bank"
